,country,year,Access to electricity,Electricity production(coal),Energy use per capita,co2 emissions,Inflation,Exports,GDP Growth(Annual),GDP Per Capita (USD)
38,GHA,2016,79.3000030517578,,,10.0576116229624,17.4546347070868,2.8935852708811,3.37346574966936,1971.95693464599
39,GHA,2017,79.0,,,,12.3719215507048,23.7900756843833,8.12889488100956,2074.29073272269
40,GHA,2018,80.4000015258789,,,,7.80876516610709,6.61638456723553,6.20007768127284,2260.86056729337
41,GHA,2019,83.5,,,,7.14364003330856,12.7330679998953,6.5077747939152,2246.62557816432
42,GHA,2020,85.8735504150391,,,,9.88728956269943,-12.7897236643658,0.414443457624131,2205.5290158584
43,GHA,2021,,,,,9.97108867504441,,,
44,IND,2011,67.5999984741211,66.759978260384,577.994426290311,5.19332002498864,,,,
45,IND,2012,79.9000015258789,71.636055060821,599.155619780044,4.09474653798394,9.31244560487383,6.80548879791374,5.45638875297365,1443.88243476138
46,IND,2013,81.9993286132813,72.5227381120314,605.794037758373,5.18016117469405,11.0636747834422,7.79238923851599,6.38610640094825,1449.61045069641
47,IND,2014,83.8724975585938,74.4921858694795,636.57183398644,4.3378598604501,6.64950015146925,1.77759073335379,7.41022760508854,1573.88564182956
48,IND,2015,88.0,75.3093989605236,,4.60391643645766,4.90697344127255,-5.64708727457766,7.99625378571471,1605.60544457087
49,IND,2016,89.2177963256836,,,4.38925428712762,4.94821634062141,4.98425762114994,8.25630550179086,1732.55424231659
50,IND,2017,92.1249465942383,,,,3.32817337461299,4.56470776307569,6.79538341897911,1980.66701982802
51,IND,2018,95.6999969482422,,,,3.94506866416981,12.346665026251,6.53298901139763,1996.91508739789
52,IND,2019,97.3082656860352,,,,3.7232764833053,-3.30570075170125,4.0415541865323,2100.75146060805
53,IND,2020,99.0,,,,6.62343677628531,-4.67878437243857,-7.25175478178826,1927.70782309335
54,JPN,2011,100.0,27.099953182867,3610.81216900174,18.8515449153172,,,,
55,JPN,2012,100.0,29.7220792101697,3537.3631698125,19.1742792001405,-0.0440645104433029,0.145733293499561,1.37475099920874,49145.2804308193
56,JPN,2013,100.0,32.925870522337,3567.62935383891,19.09550479816,0.335037912184809,0.810553198920232,2.0051001767726,40898.6478964744
57,JPN,2014,100.0,32.7419341069205,3470.76312894811,20.0190627305668,2.75922671353253,9.34180674745522,0.296205514142628,38475.3952461838
58,JPN,2015,100.0,33.1527356254335,3428.55721600428,19.4259441388066,0.795279630579775,3.21123475601371,1.56062669674904,34960.6393843385
59,JPN,2016,100.0,,,19.8837995031544,-0.127258844489691,1.61828441812327,0.753826745903538,39400.7393559257
60,JPN,2017,100.0,,,,0.484199796126387,6.6190723942031,1.67533175166503,38891.0862716856
61,JPN,2018,100.0,,,,0.989094598021806,3.75959970012927,0.558851275379695,39808.1685608793
62,JPN,2019,100.0,,,,0.468776159383912,-1.42549390699492,0.270304645083556,40777.6086970512
63,JPN,2020,100.0,,,,-0.0249958340276592,-11.7387348045147,-4.58550828070608,40193.2524448357
64,JPN,2021,,,,,-0.233352779398279,,,
65,KEN,2011,36.0356559753418,0.0,461.465686327868,0.0,,,,
66,KEN,2012,37.990966796875,0.0,454.835750446137,0.0,9.37776748155123,2.25988700564972,4.56867961444982,1271.8153829134
67,KEN,2013,39.9661064147949,0.0,468.636589650972,0.0,5.71749357037732,-0.46040515653776,3.7978483925754,1354.8208334252
68,KEN,2014,36.0,0.0,505.996512253099,0.0,6.87815499275946,1.85013876040702,5.02011100232484,1462.22005213295
69,KEN,2015,41.5999984741211,0.0,,0.0,6.58217440250398,-2.18528610354224,4.96772112759767,1464.55400904329
70,KEN,2016,53.0999984741211,,,0.0,6.29715752456274,-6.56918676992218,4.21351706814744,1525.23519224992
71,KEN,2017,55.9764099121094,,,,8.0057227913467,-1.01769659085555,3.81550642712519,1633.49121639293
72,KEN,2018,61.2845726013184,,,,4.68981976129857,6.77210127618369,5.62910144021626,1794.0911754468
73,KEN,2019,69.6999969482422,,,,5.23585999425422,-3.15760529802121,4.98113262830462,1912.64786680344
